PERIODO,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCION,ESTADO,HORARIOS,DIRECCION,ARCHIVO_ORIGEN
2025-12-31,ANCASH,HUARMEY,HUARMEY,PAP HUARMEY,OPERATIVO,08:45 a 16:45,1er. Pabellón S/N del Centro Cívico de la Municipalidad Provincial de Huarmey,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,RECUAY,RECUAY,PAP RECUAY,OPERATIVO,08:45 a 16:45,Calle Plaza de Armas Nº 180 Municipalidad Distrital de Recuay,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,CARHUAZ,CARHUAZ,PAP CARHUAZ,OPERATIVO,08:45 a 16:45,Avenida La Merced Nº 1006,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,YUNGAY,YUNGAY,PAP YUNGAY,OPERATIVO,08:45 a 16:45,Avenida Arias Grazziani Lt. 1-2 Centro Cívico de la Municipalidad Provincial de Yungay,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,PAP CARLOS FERMÍN FITZCARRALD,OPERATIVO,08:45 a 16:45,Avenida Ramón Castilla N° 320 - 1er. piso Centro Cívico de la Municipalidad Provincial de C. F. Fitzcarrald,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PAP MARISCAL LUZURIAGA,OPERATIVO,08:45 a 16:45,"Jirón San Pablo S/N, Centro Cívico de la Municipalidad Provincial de Mariscal Luzuriaga",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL LA CALETA (Chimbote),OPERATIVO,08:45 a 16:30,Avenida Malecon Grau S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL ESSALUD III CHIMBOTE,OPERATIVO,08:45 a 16:30,Avenida Circunvalación Nº 119 Urb. Laderas del Norte,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,SANTA,NUEVO CHIMBOTE,ORA HOSPITAL ELEAZAR GUZMÁN BARRÓN (Nuevo Chimbote),OPERATIVO,08:45 a 16:30,"Avenida Brasil S/N, Urb. Santa Cristina (Hospital Regional Eleazar Guzmán Barrón puerta de Emergencia)",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUARAZ,HUARAZ,ORA HOSPITAL VÍCTOR RAMOS GUARDIA (Huaraz),OPERATIVO,08:45 a 16:30,"Avenida Mariscal Luzuriaga cdra. 01, cruce con Jr. Pedro Villón cdra. 10",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUAYLAS,CARAZ,ORA HOSPITAL DE APOYO CARAZ,OPERATIVO,08:45 a 16:30,Avenida 9 de Octubre S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUARI,HUARI,ORA HOSPITAL DE APOYO HUARI,OPERATIVO,08:45 a 16:30,Avenida Circunvalación Baja S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,CORONGO,CORONGO,PANP CORONGO,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Grau N° 206, primer piso de la Municipalidad Provincial de Corongo",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,PALLASCA,CABANA,PANP PALLASCA,DESPLAZAMIENTO,08:45 a 16:45,"Avenida Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,AIJA,AIJA,PANP AIJA,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,BOLOGNESI,CHIQUIAN,PANP BOLOGNESI,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,YUNGAY,YANAMA,AG YANAMA,DESPLAZAMIENTO,08:45 a 16:45,Jirón Yungay S/N cdra. 03,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,MARISCAL LUZURIAGA,LLUMPA,PANP LLUMPA,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,ASUNCION,CHACAS,PANP ASUNCIÓN,DESPLAZAMIENTO,08:45 a 16:45,Jirón Coliseo de Chacas S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUARI,CHAVIN DE HUANTAR,PANP CHAVÍN DE HUANTAR,DESPLAZAMIENTO,08:45 a 16:45,"Jirón San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar",17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUANTA,HUANTA,AG HUANTA,OPERATIVO,08:45 a 16:45,Jirón Ayacucho N° 305,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,LA MAR,SAN MIGUEL,PAP LA MAR,OPERATIVO,08:45 a 16:45,Jirón Maria Parado de Bellido S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,VICTOR FAJARDO,HUANCAPI,PAP VICTOR FAJARDO,OPERATIVO,08:45 a 16:45,Plaza Principal Nº 127,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUANCA SANCOS,SANCOS,PAP HUANCASANCOS,OPERATIVO,08:45 a 16:45,Avenida Progreso S/N Consejo Provincial de Huanca Sancos,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,LA UNION,COTAHUASI,PAP LA UNION,OPERATIVO,08:45 a 16:45,Calle Centenario N° 202 - Cotahuasi,17. Reporte IV Trimestre 2025.csv
2025-12-31,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ORA HOSPITAL REGIONAL MOQUEGUA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Simón Bolívar N° 505,17. Reporte IV Trimestre 2025.csv
2025-12-31,MOQUEGUA,MARISCAL NIETO,SAN ANTONIO,AG MARISCAL NIETO,OPERATIVO,08:45 a 16:45,Avenida Central Mz D-4 Lt. 1,17. Reporte IV Trimestre 2025.csv
2025-12-31,MOQUEGUA,ILO,ILO,AG ILO,OPERATIVO,08:45 a 16:45,Jirón Ayacucho N° 529,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,CAYLLOMA,MAJES,AG MAJES,OPERATIVO,08:45 a 16:45,Avenida Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,CAYMA,AG CAYMA,OPERATIVO,08:45 a 16:45,Avenida Ramón Castilla S/N - Estadio La Tomilla,17. Reporte IV Trimestre 2025.csv
2025-12-31,TACNA,TACNA,TACNA,OR TACNA,OPERATIVO,08:45 a 16:45,Calle Deustua Nº 173,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL III GOYENECHE (MINSA),OPERATIVO,08:45 a 14:00  -  15:00 a 16:30 (atención cama por cama),Avenida Goyeneche N° 100,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,CAMANA,CAMANA,ORA HOSPITAL DE CAMANA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Lima 550,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,PAUCARPATA,MAC - AREQUIPA,OPERATIVO,08:30 a 16:30,Avenida Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,CAYLLOMA,MAJES,ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS (MINSA),OPERATIVO,08:45 a 16:30,Asentamiento B1 lote 1 Irrig. Majes,17. Reporte IV Trimestre 2025.csv
2025-12-31,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MAC - MOQUEGUA,OPERATIVO,08:30 a 16:30,"Avenida Circunvalación 1B Sub lote 1-A, Moquegua",17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,AREQUIPA,PAP PASEO CENTRAL,OPERATIVO,08:45 a 16:45,Calle Arturo Ibañez S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,CERRO COLORADO,C.S. MARITZA CAMPOS DIAZ (MINSA),OPERATIVO,08:45 a 16:30,Calle Yavari S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,PAUCARPATA,HOSPITAL EDMUNDO ESCOMEL (ESSALUD),OPERATIVO,08:45 a 16:30,Avenida EL Cayro S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,AREQUIPA,HOSPITAL CARLOS ALBERTO SEGUIN ESCOBEDO (ESSALUD),OPERATIVO,08:45 a 16:30,Calle Peral S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,YANAHUARA,ORA HOSPITAL III YANAHUARA (ESSALUD),OPERATIVO,08:45 a 16:30,Avenida Zamácola S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,AREQUIPA,AGENTE RENIEC - OR AREQUIPA,OPERATIVO,08:45 a 16:45,Calle San Juan de Dios N° 122 y Santo Domingo N° 101,17. Reporte IV Trimestre 2025.csv
2025-12-31,CUSCO,CUSCO,SANTIAGO,ORA ANTONIO LORENA DEL CUSCO (MINSA),OPERATIVO,08:45 a 16:30,Calle Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra,17. Reporte IV Trimestre 2025.csv
2025-12-31,CUSCO,CUSCO,WANCHAQ,ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO (ESSALUD),OPERATIVO,08:45 a 16:30,Avenida Ancelmo Alvarez S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,ABANCAY,ABANCAY,OR ABANCAY,OPERATIVO,08:45 a 16:45,Avenida La Victoria Nº 214,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,AYMARAES,CHALHUANCA,PANP AYMARAES,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S/N (Gobernatura De Chalhuanca),17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,ANTABAMBA,ANTABAMBA,PANP ANTABAMBA,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S / N,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,COTABAMBAS,TAMBOBAMBA,PAP TAMBOBAMBA,OPERATIVO,08:45 a 16:45,Avenida Perú - Plaza de Armas S/N - 3er Piso,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,GRAU,CHUQUIBAMBILLA,PANP GRAU,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S / N,17. Reporte IV Trimestre 2025.csv
2025-12-31,CUSCO,CUSCO,CUSCO,OR CUSCO,OPERATIVO,08:45 a 16:45,Avenida El Sol N° 272,17. Reporte IV Trimestre 2025.csv
2025-12-31,CUSCO,ACOMAYO,ACOMAYO,PANP ACOMAYO,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,ISLAY,MOLLENDO,AG ISLAY,OPERATIVO,08:45 a 16:45,Jiron Arequipa Nº 261,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,PAP CONDESUYOS,OPERATIVO,08:45 a 16:45,Avenida Alameda S/N - Los Tres Errantes,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,CASTILLA,APLAO,PAP CASTILLA,OPERATIVO,08:45 a 16:45,Calle Progreso S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS (MINSA),OPERATIVO,08:45 a 16:45,Avenida Hugo Pesce Pesceto S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,PAP VILCASHUAMAN,OPERATIVO,08:45 a 16:45,Avenida Los Incas Nº 222,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,SUCRE,QUEROBAMBA,PAP SUCRE,OPERATIVO,08:45 a 16:45,Jirón San Martin S/N  Plaza de Armas Consejo Provincial de Sucre,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUANTA,HUANTA,"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION"" (MINSA)",OPERATIVO,08:45 a 16:45,Avenida Mariscal Castilla Nº 628,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,LA MAR,SAN MIGUEL,ORA SAN MIGUEL (MINSA),DESPLAZAMIENTO,08:45 a 16:45,Avenida Ramon Castilla s/n,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,CANGALLO,CANGALLO,ORA HOSPITAL DE APOYO CANGALLO (MINSA),OPERATIVO,08:45 a 16:45,Jirón Santa Rosa N° 110,17. Reporte IV Trimestre 2025.csv
2025-12-31,CUSCO,LA CONVENCION,PICHARI,PAP PICHARI,OPERATIVO,08:45 a 16:45,Avenida BRASIL S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,CHINCHEROS,CHINCHEROS,PAP CHINCHEROS,OPERATIVO,08:45 a 16:45,Jirón COTABAMBAS N° 121,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,LA MAR,SAMUGARI,PAP SAMUGARI -PALMAPAMPA,OPERATIVO,08:45 a 16:45,Jirón Los Laureles S/N  Palmapampa Distrital de Samugari,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,LA MAR,TAMBO,ORA TAMBO (MINSA),OPERATIVO,08:45 a 16:45,Jirón Lima s/n,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUAMANGA,JESUS NAZARENO,ORA HOSPITAL DE APOYO JESUS NAZARENO (MINSA),OPERATIVO,08:45 a 16:45,Jirón Ciro Alegría Nº 547,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,ANDAHUAYLAS,TALAVERA,OR ANDAHUAYLAS,OPERATIVO,08:45 a 16:45,Jirón Amauta N° 311,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,CHINCHEROS,ANCCO HUALLO,ORA  CENTRO DE SALUD URIPA  (MINSA),OPERATIVO,08:45 a 16:45,Avenida  Túpac Amaru S/N  URIPA,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUANTA,SIVIA,ORA HOSPITAL DE APOYO DE SIVIA (MINSA),DESPLAZAMIENTO,08:45 a 16:45,Jirón Gervacio Santillana S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,CARAVELI,CARAVELÍ,PAP CARAVELI,DESPLAZAMIENTO,08:45 a 16:45,Jirón Bolivar S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,CUSCO,LA CONVENCION,KIMBIRI,ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI (MINSA),DESPLAZAMIENTO,08:45 a 16:45,Avenida Aeropuerto S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,CUSCO,LA CONVENCION,PICHARI,ORA HOSPITAL DE APOYO PICHARI (MINSA),OPERATIVO,08:45 a 16:45,Jirón Amazonas s/n,17. Reporte IV Trimestre 2025.csv
2025-12-31,APURIMAC,CHINCHEROS,CHINCHEROS,ORA HOSPITAL DE APOYO CHINCHEROS (MINSA),OPERATIVO,08:45 a 16:45,Avenida Fernando Belaunde Terry S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,CANGALLO,LOS MOROCHUCOS,ORA PAMPA CANGALLO (MINSA),OPERATIVO,08:45 a 16:45,Avenida María Arguedas S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,ORA SAN JUAN BAUTISTA,DESPLAZAMIENTO,08:45 a 16:45,AV. MALVINAS S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,LA MAR,AYNA,ORA HOSPITAL DE APOYO AYNA SAN FRANCISCO,DESPLAZAMIENTO,08:45 a 16:45,AV. HUANTA S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUAMANGA,AYACUCHO,MAC AYACUCHO,OPERATIVO,08:30 a 16:30,AV. JAVIER PEREZ DE CUELLAR S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Daniel Alcides Carrión N° 505,17. Reporte IV Trimestre 2025.csv
2025-12-31,TACNA,TACNA,TACNA,ORA TACNA (MINSA),OPERATIVO,08:45 a 16:30,Calle Blondel S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,AREQUIPA,AREQUIPA,OR AREQUIPA,OPERATIVO,08:45 a 16:45,Calle San Juan de Dios N° 122 y Santo Domingo N° 101,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,CAYLLOMA,CHIVAY,PAP CAYLLOMA,OPERATIVO,08:45 a 16:45,Calle Siglo XX S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,AREQUIPA,CAMANA,CAMANA,AG CAMANA,OPERATIVO,08:45 a 16:45,Avenida Mariscal Castilla N° 221,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,SANTA,CHIMBOTE,MAC - ANCASH,OPERATIVO,08:30 a 16:30,"Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,SANTA,CHIMBOTE,AGENTE RENIEC - MEGA PLAZA CHIMBOTE,OPERATIVO,08:45 a 16:45,"Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,SANTA,CHIMBOTE,OR SANTA,OPERATIVO,08:45 a 16:45,Jirón Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401,17. Reporte IV Trimestre 2025.csv
2025-12-31,LA LIBERTAD,VIRU,VIRU,PAP VIRU,OPERATIVO,08:45 a 16:45,Mz. A Lt. N° 08 Urb. Las Palmeras,17. Reporte IV Trimestre 2025.csv
