N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,ESTADO,CENTRO DE ATENCIÓN,HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA
30,01.- PIURA,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,731,ORA,OPERATIVO,ORA HOSPITAL PROVINCIAL DOCENTE BELEN-LAMBAYEQUE (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Ramón Castilla Nº 597
31,01.- PIURA,TUMBES,TUMBES,TUMBES,732,ORA,OPERATIVO,ORA HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2 (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida 24 de Julio Nº 565 
32,01.- PIURA,PIURA,PIURA,CATACAOS,609,ORA,OPERATIVO,ORA CENTRO DE SALUD MATERNO INFANTIL-CATACAOS (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Cayetano Heredia 1108 - Catacos
33,01.- PIURA,PIURA,PIURA,Veintises de Octubre,87,ORA,OPERATIVO,ORA HOSPITAL DE LA AMISTAD PERU - COREA SANTA ROSA II-2 (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Prolongación Av. Grau/Av. Chulucanas 
34,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,760,ORA,OPERATIVO,ORA HOSPITAL REGIONAL LAMBAYEQUE (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Intersección de Carretera Panamerica Norte y Vía de Evitamiento S/N
35,01.- PIURA,PIURA,MORROPON,CHULUCANAS,610,ORA,OPERATIVO,ORA HOSPITAL DE APOYO CHULUCANAS (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Daniel alcides carrion S/N Asent .H. vate manrique
36,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,45,ORA,OPERATIVO,ORA REGIONAL DOCENTE DE TRUJILLO (MINSA),08:45 a 13:00 - 14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Mansiche Nº 795
37,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,86,ORA,OPERATIVO,ORA REGIONAL CAJAMARCA (MINSA),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Larry Jhonson S/N Cdra. 8
38,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,139,ORA,OPERATIVO,ORA HOSPITAL BELEN DE TRUJILLO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Bolívar Nº 350
39,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,151,OR,OPERATIVO,OR CAJAMARCA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Del Comercio Nº 633
40,02.- TRUJILLO,CAJAMARCA,CAJABAMBA,CAJABAMBA,152,PAP,OPERATIVO,PAP CAJABAMBA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Miguel Grau Nº 224-226-228 Mz. 31 Lt. 2 
41,02.- TRUJILLO,CAJAMARCA,CELENDIN,CELENDÍN,153,PAP,OPERATIVO,PAP CELENDIN,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Pardo N° 610
42,02.- TRUJILLO,CAJAMARCA,CONTUMAZA,CONTUMAZÁ,154,PAP,OPERATIVO,PAP CONTUMAZA,08:45 a 13:00 - 14:00 a 16:45 ,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Miguel Grau Nº 212
43,02.- TRUJILLO,CAJAMARCA,HUALGAYOC,BAMBAMARCA,157,PAP,OPERATIVO,PAP HUALGAYOC,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón 07 de Junio Nº 470
44,02.- TRUJILLO,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,160,PAP,OPERATIVO,PAP SAN MIGUEL,08:45 a 13:00 - 14:00 a 16:45 ,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Bolognesi N° 364
45,02.- TRUJILLO,CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,162,PAP,OPERATIVO,PAP SAN MARCOS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Alfonso Ugarte N° 325 (Mz. 46 Lt. 17 Centro Poblado San Marcos).
46,02.- TRUJILLO,CAJAMARCA,SAN PABLO,SAN PABLO,163,PAP,OPERATIVO,PAP SAN PABLO,08:45 a 13:00 - 14:00 a 16:45 ,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Plaza de Armas S/N
47,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,173,OR,OPERATIVO,OR TRUJILLO II,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Víctor Larco N° 1096. Urb. Vista Alegre
48,02.- TRUJILLO,LA LIBERTAD,PATAZ,PARCOY,293,OR,OPERATIVO,OR PARCOY,08:45 a 13:00 - 14:00 a 16:45 ,SI,NO,SI,SI,SI,SI,SI,SI,NO,Jirón San Martín N° 859
49,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,310,OR,OPERATIVO,OR TRUJILLO ,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Pablo Casals Mz. A Lt. 6 Urb. Los Cedros
50,02.- TRUJILLO,LA LIBERTAD,BOLIVAR,BOLÍVAR,311,PAP,OPERATIVO,PAP BOLIVAR,08:45 a 13:00 - 14:00 a 16:45 ,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Bolivar S/N - Mz. 20 Lt. 8
51,02.- TRUJILLO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,312,AG,OPERATIVO,AG SANCHEZ CARRION,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Alfonso Ugarte N° 567
52,02.- TRUJILLO,LA LIBERTAD,OTUZCO,OTUZCO,313,AG,OPERATIVO,AG OTUZCO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Pasaje Elías Armas Castillo Lt. 5-E1 Mz. 28
53,02.- TRUJILLO,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,314,AG,OPERATIVO,AG PACASMAYO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Alianza Nº 524
54,02.- TRUJILLO,LA LIBERTAD,PATAZ,TAYABAMBA,315,PAP,OPERATIVO,PAP PATAZ,08:45 a 13:00 - 14:00 a 16:45 ,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Sucre 337 1er Piso Centro Civico
55,02.- TRUJILLO,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,316,PAP,OPERATIVO,PAP SANTIAGO DE CHUCO,08:45 a 13:00 - 14:00 a 16:45 ,NO,NO,SI,SI,SI,NO,SI,SI,NO,Calle Luis de La Puente Uceda  Nº 1120
56,02.- TRUJILLO,LA LIBERTAD,ASCOPE,ASCOPE,317,PAP,OPERATIVO,PAP ASCOPE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,"Calle Miguel Grau N° 879, Ascope - 1er Piso"
57,02.- TRUJILLO,LA LIBERTAD,CHEPEN,CHEPÉN,318,PAP,OPERATIVO,PAP CHEPEN,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Manuel Seoane  N° 136. Chepen
58,02.- TRUJILLO,LA LIBERTAD,GRAN CHIMU,CASCAS,320,PAP,OPERATIVO,PAP GRAN CHIMU,08:45 a 13:00 - 14:00 a 16:45 ,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jr. San Martin S/N 
59,02.- TRUJILLO,LA LIBERTAD,VIRU,VIRU,321,PAP,OPERATIVO,PAP VIRU,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,  Mz. A Lt. N° 08 Urb. Las Palmeras
60,02.- TRUJILLO,CAJAMARCA,HUALGAYOC,BAMBAMARCA,358,ORA,OPERATIVO,ORA BAMBAMARCA - TITO VILLAR CABEZAS (MINSA),08:45 a 13:00 - 14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Caserío El Frutillo. Bambamarca
61,02.- TRUJILLO,CAJAMARCA,CELENDIN,CELENDÍN,359,ORA,OPERATIVO,ORA DE APOYO CELENDIN (MINSA),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Túpac Amaru Cdra. 4
62,02.- TRUJILLO,CAJAMARCA,CAJABAMBA,CAJABAMBA,360,ORA,OPERATIVO,ORA HOSPITAL NUESTRA SEÑORA DEL ROSARIO (MINSA),08:45 a 13:00 - 14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón La Torre N° 277
63,02.- TRUJILLO,CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,361,ORA,OPERATIVO,ORA SAN MARCOS (MINSA),08:45 a 13:00 - 14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida 28 de Julio S/N Cdra.2
64,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,EL PORVENIR,508,OR,OPERATIVO,OR EL PORVENIR,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Gabriel Aguilar Nº 1657. 2do piso.
65,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,ALTO TRUJILLO,569,OR,OPERATIVO,OR ALTO TRUJILLO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI, Barrio 3 Mz T Lt. 2
66,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,592,ORA,OPERATIVO,ORA SIMON BOLIVAR (MINSA),08:45 a 13:00 - 14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Mario Urteaga N° 500
67,02.- TRUJILLO,LA LIBERTAD,PACASMAYO,GUADALUPE,593,ORA,OPERATIVO,ORA DE APOYO TOMÁS LAFORA (MINSA),08:45 a 13:00 - 14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle La Victoria S/N
68,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,602,ORA,OPERATIVO,ORA BAÑOS DEL INCA (MINSA),08:45 a 13:00 - 14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Pachacútec N° 489
69,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,LA ESPERANZA,604,ORA,OPERATIVO,ORA DISTRITAL JERUSALEN (MINSA),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Pasaje 1 Barrio 3 Mz. 20 Lt. 02 Sector Jerusalén
70,02.- TRUJILLO,LA LIBERTAD,PATAZ,CHILLIA,605,AG,OPERATIVO,AG CHILLIA,08:45 a 13:00 - 14:00 a 16:45 ,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Miraflores S/N
71,02.- TRUJILLO,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,613,ORA,OPERATIVO,ORA DE APOYO CESAR ABRAHAM VALLEJO MENDOZA (MINSA),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Gustavo Pinillo S/N - Barrio San Cristobal
72,02.- TRUJILLO,LA LIBERTAD,CHEPEN,CHEPEN,614,ORA,DESPLAZAMIENTO,ORA DE APOYO CHEPEN (MINSA),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida 28 de Julio S/N
73,02.- TRUJILLO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,615,ORA,OPERATIVO,ORA DE APOYO LEONCIO PRADO (MINSA),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida 10 de Julio N° 209
74,02.- TRUJILLO,LA LIBERTAD,OTUZCO,OTUZCO,616,ORA,OPERATIVO,ORA DE APOYO OTUZCO ELPIDIO BEROVIDES PEREZ (MINSA),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Progreso N° 385
75,02.- TRUJILLO,LA LIBERTAD,ASCOPE,PAIJAN,617,ORA,DESPLAZAMIENTO,ORA PAIJAN (MINSA),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Carretera Vía Panamericana S/N Sector Manco Capac
76,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,795,MAC,OPERATIVO,MAC - CAJAMARCA,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Via De Evitamiento. Jr. El Mutuy y Av. La Cantuta - Cajamarca - Centro Comercial Real Plaza 2do. Piso
77,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,822,MAC,OPERATIVO,MAC - LA LIBERTAD,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,"Avenida Centro Comercial Real Plaza de Trujillo -Fundo Las Casuarinas, Sub Lote predio A; Intersección , Av. Fátima 1345, Trujillo, La Libertad"
78,02.- TRUJILLO,LA LIBERTAD,VIRU,VIRU,594,ORA,OPERATIVO,ORA PROVINCIAL DE VIRÚ (MINSA),08:45 a 13:00 - 14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Sucre Nº 799
79,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,46,ORA,OPERATIVO,ORA HOSPITAL VÍCTOR LAZARTE ECHEGARAY (ESSALUD),08:45 a 13:00 - 14:00 a 16:30 ,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Prolongación Unión 1375
80,03.- TARAPOTO,SAN MARTIN,SAN MARTIN,TARAPOTO,109,ORA,OPERATIVO,ORA HOSPITAL TARAPOTO (MINSA),08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Angel Delgado Morey Nº 503
81,03.- TARAPOTO,LORETO,DATEM DEL MARAÑON,BARRANCA,120,PAP,OPERATIVO,PAP DATEM DEL MARAÑON,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Tigre Mz. 31 Lt. 08 - San Lorenzo
82,03.- TARAPOTO,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,331,AG,OPERATIVO,AG NUEVA CAJAMARCA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Carretera Fernando Belaunde Terry Altura del Km. 447.50 
83,03.- TARAPOTO,LORETO,ALTO AMAZONAS,YURIMAGUAS,432,AG,OPERATIVO,AG ALTO AMAZONAS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle Mariscal Castilla N° 411
84,03.- TARAPOTO,SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,543,ORA,OPERATIVO,ORA HOSPITAL MOYOBAMBA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Grau cuadra 4
85,03.- TARAPOTO,SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,581,AG,OPERATIVO,AG MOYOBAMBA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Dos de Mayo Mz. 1530 Lt. 14 (837)
86,03.- TARAPOTO,SAN MARTIN,HUALLAGA,SAPOSOA,582,AG,OPERATIVO,AG HUALLAGA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Lima N° 591
87,03.- TARAPOTO,SAN MARTIN,LAMAS,LAMAS,583,AG,OPERATIVO,AG LAMAS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón San Martín N° 984
88,03.- TARAPOTO,SAN MARTIN,MARISCAL CACERES,JUANJUI,584,AG,OPERATIVO,AG MARISCAL CACERES,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Eduardo Peña Meza N° 772 
89,03.- TARAPOTO,SAN MARTIN,RIOJA,RIOJA,585,OR,OPERATIVO,OR RIOJA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Angaiza N° 530
90,03.- TARAPOTO,SAN MARTIN,SAN MARTIN ,TARAPOTO,586,OR,OPERATIVO,OR TARAPOTO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Jiménez Pimentel N° 280 
91,03.- TARAPOTO,SAN MARTIN,BELLAVISTA,BELLAVISTA,587,AG,OPERATIVO,AG BELLAVISTA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Huallaga - Iquitos Mz. 7 Lt. 27 - A.  1er. Piso
92,03.- TARAPOTO,SAN MARTIN,PICOTA,PICOTA,589,AG,OPERATIVO,AG PICOTA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,"Jirón Simón Bolívar, cuadra 4"
93,03.- TARAPOTO,LORETO,DATEM DEL MARAÑON,BARRANCA,601,ORA,OPERATIVO,ORA SAN LORENZO - NUCLEO BASE (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Barrio Daniel Alcides Carrión S/N - Barrio Huacachina
94,03.- TARAPOTO,SAN MARTIN,SAN MARTIN ,LA BANDA DE SHILCAYO,612,AG,OPERATIVO,AG LA BANDA DE SHILCAYO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Yurimaguas N° 340
95,03.- TARAPOTO,SAN MARTIN,MARISCAL CACERES,JUANJUI,632,ORA,OPERATIVO,ORA HOSPITAL JUANJUI (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Arica N° 205
96,03.- TARAPOTO,SAN MARTIN,RIOJA,RIOJA,658,ORA,OPERATIVO,ORA HOSPITAL DE RIOJA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Túpac Amaru S/N
97,03.- TARAPOTO,SAN MARTIN,SAN MARTIN,MORALES,983,PANP,OPERATIVO,PANP MORALES,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Tarapoto N° 116 Plaza de Armas
98,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,55,ORA,OPERATIVO,"ORA HOSPITAL REGIONAL DE LORETO ""FELIPE ARRIOLA IGLESIAS""",08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida 28 de Julio S/N
99,04.- IQUITOS,LORETO,MAYNAS,IQUITOS,85,ORA,OPERATIVO,"ORA HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""",08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Cornejo Portugal 1710
100,04.- IQUITOS,LORETO,MAYNAS,BELÉN,332,OR,OPERATIVO,OR BELEN,08:45 a 16:45,SI,NO,SI,SI,SI,SI,SI,SI,NO,Calle Miraflores S/N P. J. 09 de Octubre
101,04.- IQUITOS,LORETO,MAYNAS,IQUITOS,431,OR,OPERATIVO,OR IQUITOS,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Próspero Nº 201
