CENTROS DE ATENCIÓN DEL RENIEC A NIVEL NACIONAL A JULIO 2025;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
N°;CODIGO SIO DNI NUM;DEPARTAMENTO;PROVINCIA;DISTRITO;OFICINAS REGIONALES/U.O.;TIPO DE LOCAL;SIGLA TIPO DE LOCAL;CENTRO DE ATENCIÓN;HORARIO DE ATENCIÓN AL PUBLICO;NOMBRE DE LA VIA;"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC"; ¿Este Centro de Atención toma fotografía? ; ¿Este Centro de Atención entrega DNI Electrónico? ; TRAMITE DE DNI MAYOR ; TRAMITE DE DNI MENOR ; ENTREGAS DE DNI ; INSCRIPCION DE REGISTROS CIVILES ; CERTIFICACION DE REGISTROS CIVILES ; CERTIFICACION DEL RUIPN ; EREP ;;;
60;359;CAJAMARCA;CELENDIN;CELENDÍN;;;;ORA DE APOYO CELENDIN (MINSA);08:45 a 13:00 - 14:00 a 16:30 ;Avenida Túpac Amaru Cdra. 4;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
61;360;CAJAMARCA;CAJABAMBA;CAJABAMBA;;;;ORA HOSPITAL NUESTRA SEÑORA DEL ROSARIO (MINSA);08:45 a 13:00 - 14:00 a 16:30;Jirón La Torre N° 277;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
62;361;CAJAMARCA;SAN MARCOS;PEDRO GÁLVEZ;;;;ORA SAN MARCOS (MINSA);08:45 a 13:00 - 14:00 a 16:30;Avenida 28 de Julio S/N Cdra.2;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
63;508;LA LIBERTAD;TRUJILLO;EL PORVENIR;;;;OR EL PORVENIR;08:45 a 16:45;Jirón Gabriel Aguilar Nº 1657. 2do piso.;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
64;569;LA LIBERTAD;TRUJILLO;ALTO TRUJILLO;;;;OR ALTO TRUJILLO;08:45 a 16:45; Barrio 3 Mz T Lt. 2;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
65;592;CAJAMARCA;CAJAMARCA;CAJAMARCA;;;;ORA SIMON BOLIVAR (MINSA);08:45 a 13:00 - 14:00 a 16:30;Avenida Mario Urteaga N° 500;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
66;593;LA LIBERTAD;PACASMAYO;GUADALUPE;;;;ORA DE APOYO TOMÁS LAFORA (MINSA);08:45 a 13:00 - 14:00 a 16:30;Calle La Victoria S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
67;602;CAJAMARCA;CAJAMARCA;LOS BAÑOS DEL INCA;;;;ORA BAÑOS DEL INCA (MINSA);08:45 a 13:00 - 14:00 a 16:30;Jirón Pachacútec N° 489;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
68;604;LA LIBERTAD;TRUJILLO;LA ESPERANZA;;;;ORA DISTRITAL JERUSALEN (MINSA);08:45 a 13:00 - 14:00 a 16:30 ;Pasaje 1 Barrio 3 Mz. 20 Lt. 02 Sector Jerusalén;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
69;605;LA LIBERTAD;PATAZ;CHILLIA;;;;AG CHILLIA;08:45 a 13:00 - 14:00 a 16:45 ;Jirón Miraflores S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
70;613;LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;;;;ORA DE APOYO CESAR ABRAHAM VALLEJO MENDOZA (MINSA);08:45 a 13:00 - 14:00 a 16:30 ;Calle Gustavo Pinillo S/N - Barrio San Cristobal;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
71;614;LA LIBERTAD;CHEPEN;CHEPEN;;;;ORA DE APOYO CHEPEN (MINSA);08:45 a 13:00 - 14:00 a 16:30 ;Avenida 28 de Julio S/N;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
72;615;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;;;;ORA DE APOYO LEONCIO PRADO (MINSA);08:45 a 13:00 - 14:00 a 16:30 ;Avenida 10 de Julio N° 209;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
73;616;LA LIBERTAD;OTUZCO;OTUZCO;;;;ORA DE APOYO OTUZCO ELPIDIO BEROVIDES PEREZ (MINSA);08:45 a 13:00 - 14:00 a 16:30 ;Calle Progreso N° 385;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
74;617;LA LIBERTAD;ASCOPE;PAIJAN;;;;ORA PAIJAN (MINSA);08:45 a 13:00 - 14:00 a 16:30 ;Carretera Vía Panamericana S/N Sector Manco Capac;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
75;795;CAJAMARCA;CAJAMARCA;CAJAMARCA;;;;MAC - CAJAMARCA;08:30 a 16:30;Avenida Via De Evitamiento. Jr. El Mutuy y Av. La Cantuta - Cajamarca - Centro Comercial Real Plaza 2do. Piso;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
76;46;LA LIBERTAD;VIRU;VIRU;;;;ORA PROVINCIAL DE VIRÚ (MINSA);08:45 a 13:00 - 14:00 a 16:30;Calle Sucre Nº 799;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
77;722;LA LIBERTAD;TRUJILLO;TRUJILLO;;;;ORA HOSPITAL VÍCTOR LAZARTE ECHEGARAY (ESSALUD);08:45 a 13:00 - 14:00 a 16:30 ;Avenida Prolongación Unión 1375;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
78;319;CAJAMARCA;CONTUMAZA;CHILETE;;;;PANP CHILETE;08:45 a 13:00 - 14:00 a 16:45 ;Jr. Arequipa N° 330;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
79;;LA LIBERTAD;JULCAN;JULCAN;;;;PAP JULCAN;08:45 a 13:00 - 14:00 a 16:46;Avenida 28 de Julio N° 201, Centro Cívico;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
80;;LA LIBERTAD;TRUJILLO;TRUJILLO;;;;AGENTE RENIEC - OR TRUJILLO;08:45 a 16:45;Avenida Pablo Casals Mz. A Lt. 6 Urb. Los Cedros;OPERATIVO;NO;NO;SI;NO;NO;NO;SI;NO;NO;;;
81;109;SAN MARTIN;SAN MARTIN;TARAPOTO;;;;ORA HOSPITAL TARAPOTO (MINSA);08:45 a 16:30;Jirón Angel Delgado Morey Nº 503;OPERATIVO;NO;NO;NO;SI;SI;SI;NO;NO;NO;;;
82;120;LORETO;DATEM DEL MARAÑON;BARRANCA;;;;PAP DATEM DEL MARAÑON;08:45 a 16:45;Calle Tigre Mz. 31 Lt. 08 - San Lorenzo;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
83;331;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;;;;AG NUEVA CAJAMARCA;08:45 a 16:45;Carretera Fernando Belaunde Terry Altura del Km. 447.50 ;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
84;432;LORETO;ALTO AMAZONAS;YURIMAGUAS;;;;AG ALTO AMAZONAS;08:45 a 16:45;Calle Mariscal Castilla N° 411;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
85;543;SAN MARTIN;MOYOBAMBA ;MOYOBAMBA;;;;ORA HOSPITAL MOYOBAMBA (MINSA);08:45 a 16:30;Jirón Grau cuadra 4;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
86;581;SAN MARTIN;MOYOBAMBA ;MOYOBAMBA;;;;AG MOYOBAMBA;08:45 a 16:45;Jirón Dos de Mayo Mz. 1530 Lt. 14 (837);OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
87;582;SAN MARTIN;HUALLAGA;SAPOSOA;;;;AG HUALLAGA;08:45 a 16:45;Jirón Lima N° 591;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
88;583;SAN MARTIN;LAMAS;LAMAS;;;;AG LAMAS;08:45 a 16:45;Jirón San Martín N° 984;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
89;584;SAN MARTIN;MARISCAL CACERES;JUANJUI;;;;AG MARISCAL CACERES;08:45 a 16:45;Jirón Eduardo Peña Meza N° 772 ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
90;585;SAN MARTIN;RIOJA;RIOJA;;;;OR RIOJA;08:45 a 16:45;Jirón Angaiza N° 530;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
91;586;SAN MARTIN;SAN MARTIN ;TARAPOTO;;;;OR TARAPOTO;08:45 a 16:45;Jirón Jiménez Pimentel N° 280 ;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
92;587;SAN MARTIN;BELLAVISTA;BELLAVISTA;;;;AG BELLAVISTA;08:45 a 16:45;Jirón Huallaga - Iquitos Mz. 7 Lt. 27 - A.  1er. Piso;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
93;589;SAN MARTIN;PICOTA;PICOTA;;;;AG PICOTA;08:45 a 16:45;Jirón Simón Bolívar, cuadra 4;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
94;590;SAN MARTIN;EL DORADO ;SAN JOSE DE SISA;;;;AG EL DORADO;08:45 a 16:45;Jirón Comercio N° 610;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
95;601;LORETO;DATEM DEL MARAÑON;BARRANCA;;;;ORA SAN LORENZO - NUCLEO BASE (MINSA);08:45 a 16:30;Barrio Daniel Alcides Carrión S/N - Barrio Huacachina;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
96;612;SAN MARTIN;SAN MARTIN ;LA BANDA DE SHILCAYO;;;;AG LA BANDA DE SHILCAYO;08:45 a 16:45;Jirón Yurimaguas N° 340;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
97;632;SAN MARTIN;MARISCAL CACERES;JUANJUI;;;;ORA HOSPITAL JUANJUI (MINSA);08:45 a 16:30;Jirón Arica N° 205;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
98;658;SAN MARTIN;RIOJA;RIOJA;;;;ORA HOSPITAL DE RIOJA (MINSA);08:45 a 16:30;Jirón Túpac Amaru S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
99;509;LORETO;ALTO AMAZONAS;LAGUNAS;;;;AG LAGUNAS;08:45 a 16:45;Jirón FITZCARRALD C-9;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
100;983;SAN MARTIN;SAN MARTIN;MORALES;;;;PANP MORALES;08:45 a 16:45;Jirón Tarapoto N° 116 Plaza de Armas;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
101;603;LORETO;ALTO AMAZONAS;YURIMAGUAS;;;;ORA HOSPITAL SANTA GEMA YURIMAGUAS (MINSA);08:45 a 16:30;CALLE HUALLAGA  C-4;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
102;55;LORETO;MAYNAS;PUNCHANA;;;;"ORA HOSPITAL REGIONAL DE LORETO ""FELIPE ARRIOLA IGLESIAS""";08:45 a 16:30;Avenida 28 de Julio S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
103;85;LORETO;MAYNAS;IQUITOS;;;;"ORA HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";08:45 a 16:30;Calle Cornejo Portugal 1710;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
104;332;LORETO;MAYNAS;BELÉN;;;;OR BELEN;08:45 a 16:45;Calle Miraflores S/N P. J. 09 de Octubre;OPERATIVO;SI;NO;SI;SI;SI;SI;SI;SI;NO;;;
105;431;LORETO;MAYNAS;IQUITOS;;;;OR IQUITOS;08:45 a 16:45;Jirón Próspero Nº 201;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
