N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA,,,,,,,,,,,
45,02.- TRUJILLO,CAJAMARCA,HUALGAYOC,BAMBAMARCA,PAP HUALGAYOC,157,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón 07 de Junio Nº 470,,,,,,,,,,,
46,02.- TRUJILLO,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,PAP SAN MIGUEL,160,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Bolognesi N° 364,,,,,,,,,,,
47,02.- TRUJILLO,CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,PAP SAN MARCOS,162,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Alfonso Ugarte N° 325 (Mz. 46 Lt. 17 Centro Poblado San Marcos).,,,,,,,,,,,
48,02.- TRUJILLO,CAJAMARCA,SAN PABLO,SAN PABLO,PAP SAN PABLO,163,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Plaza de Armas S/N,,,,,,,,,,,
49,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,OR TRUJILLO II,173,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Víctor Larco N° 1096. Urb. Vista Alegre,,,,,,,,,,,
50,02.- TRUJILLO,LA LIBERTAD,PATAZ,PARCOY,OR PARCOY,293,OR,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,SI,SI,NO,Jirón San Martín N° 859,,,,,,,,,,,
51,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,OR TRUJILLO ,310,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Pablo Casals Mz. A Lt. 6 Urb. Los Cedros,,,,,,,,,,,
52,02.- TRUJILLO,LA LIBERTAD,BOLIVAR,BOLÍVAR,PAP BOLIVAR,311,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Bolivar S/N - Mz. 20 Lt. 8,,,,,,,,,,,
53,02.- TRUJILLO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,AG SANCHEZ CARRION,312,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Alfonso Ugarte N° 567,,,,,,,,,,,
54,02.- TRUJILLO,LA LIBERTAD,OTUZCO,OTUZCO,AG OTUZCO,313,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Pasaje Elías Armas Castillo Lt. 5-E1 Mz. 28,,,,,,,,,,,
55,02.- TRUJILLO,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,AG PACASMAYO,314,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Alianza Nº 524,,,,,,,,,,,
56,02.- TRUJILLO,LA LIBERTAD,PATAZ,TAYABAMBA,PAP PATAZ,315,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Sucre 337 1er Piso Centro Civico,,,,,,,,,,,
57,02.- TRUJILLO,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,PAP SANTIAGO DE CHUCO,316,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Calle Luis de La Puente Uceda  Nº 1120,,,,,,,,,,,
58,02.- TRUJILLO,LA LIBERTAD,ASCOPE,ASCOPE,PAP ASCOPE,317,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,"Calle Miguel Grau N° 879, Ascope - 1er Piso",,,,,,,,,,,
59,02.- TRUJILLO,LA LIBERTAD,CHEPEN,CHEPÉN,PAP CHEPEN,318,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Manuel Seoane  N° 136. Chepen,,,,,,,,,,,
60,02.- TRUJILLO,LA LIBERTAD,JULCAN,JULCÁN,PAP JULCAN,319,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Avenida 28 de Julio Nº 201 Centro Civico - Julcán,,,,,,,,,,,
61,02.- TRUJILLO,LA LIBERTAD,GRAN CHIMU,CASCAS,PAP GRAN CHIMU,320,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Calle Progreso S/N Cdra. 3,,,,,,,,,,,
62,02.- TRUJILLO,LA LIBERTAD,VIRU,VIRU,PAP VIRU,321,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,  Mz. A Lt. N° 08 Urb. Las Palmeras,,,,,,,,,,,
63,02.- TRUJILLO,CAJAMARCA,HUALGAYOC,BAMBAMARCA,ORA BAMBAMARCA - TITO VILLAR CABEZAS (MINSA),358,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Caserío El Frutillo. Bambamarca,,,,,,,,,,,
64,02.- TRUJILLO,CAJAMARCA,CELENDIN,CELENDÍN,ORA DE APOYO CELENDIN (MINSA),359,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Túpac Amaru Cdra. 4,,,,,,,,,,,
65,02.- TRUJILLO,CAJAMARCA,CAJABAMBA,CAJABAMBA,ORA HOSPITAL NUESTRA SEÑORA DEL ROSARIO (MINSA),360,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón La Torre N° 277,,,,,,,,,,,
66,02.- TRUJILLO,CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,ORA SAN MARCOS (MINSA),361,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida 28 de Julio S/N Cdra.2,,,,,,,,,,,
67,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,EL PORVENIR,OR EL PORVENIR,508,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Gabriel Aguilar Nº 1657. 2do piso.,,,,,,,,,,,
68,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,ALTO TRUJILLO,OR ALTO TRUJILLO,569,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI, Barrio 3 Mz T Lt. 2,,,,,,,,,,,
69,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,ORA SIMON BOLIVAR (MINSA),592,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Mario Urteaga N° 500,,,,,,,,,,,
70,02.- TRUJILLO,LA LIBERTAD,PACASMAYO,GUADALUPE,ORA DE APOYO TOMÁS LAFORA (MINSA),593,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle La Victoria S/N,,,,,,,,,,,
71,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,ORA BAÑOS DEL INCA (MINSA),602,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Pachacútec N° 489,,,,,,,,,,,
72,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,LA ESPERANZA,ORA DISTRITAL JERUSALEN (MINSA),604,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Pasaje 1 Barrio 3 Mz. 20 Lt. 02 Sector Jerusalén,,,,,,,,,,,
73,02.- TRUJILLO,LA LIBERTAD,PATAZ,CHILLIA,AG CHILLIA,605,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón Miraflores S/N,,,,,,,,,,,
74,02.- TRUJILLO,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,ORA DE APOYO CESAR ABRAHAM VALLEJO MENDOZA (MINSA),613,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle Gustavo Pinillo S/N - Barrio San Cristobal,,,,,,,,,,,
75,02.- TRUJILLO,LA LIBERTAD,CHEPEN,CHEPEN,ORA DE APOYO CHEPEN (MINSA),614,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida 28 de Julio S/N,,,,,,,,,,,
76,02.- TRUJILLO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,ORA DE APOYO LEONCIO PRADO (MINSA),615,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida 10 de Julio N° 209,,,,,,,,,,,
77,02.- TRUJILLO,LA LIBERTAD,OTUZCO,OTUZCO,ORA DE APOYO OTUZCO ELPIDIO BEROVIDES PEREZ (MINSA),616,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle Progreso N° 385,,,,,,,,,,,
78,02.- TRUJILLO,LA LIBERTAD,ASCOPE,PAIJAN,ORA PAIJAN (MINSA),617,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Carretera Vía Panamericana S/N Sector Manco Capac,,,,,,,,,,,
79,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,MAC - CAJAMARCA,795,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Via De Evitamiento. Jr. El Mutuy y Av. La Cantuta - Cajamarca - Centro Comercial Real Plaza 2do. Piso,,,,,,,,,,,
80,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,MAC - LA LIBERTAD,822,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,"Avenida Centro Comercial Real Plaza de Trujillo -Fundo Las Casuarinas, Sub Lote predio A; Intersección , Av. Fátima 1345, Trujillo, La Libertad",,,,,,,,,,,
81,02.- TRUJILLO,LA LIBERTAD,VIRU,VIRU,ORA PROVINCIAL DE VIRÚ (MINSA),594,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle Sucre Nº 799,,,,,,,,,,,
82,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,ORA HOSPITAL VÍCTOR LAZARTE ECHEGARAY (ESSALUD),46,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Prolongación Unión 1375,,,,,,,,,,,
83,03.- TARAPOTO,SAN MARTIN,SAN MARTIN,TARAPOTO,ORA HOSPITAL TARAPOTO (MINSA),109,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,Jirón Angel Delgado Morey Nº 503,,,,,,,,,,,
84,03.- TARAPOTO,LORETO,DATEM DEL MARAÑON,BARRANCA,PAP DATEM DEL MARAÑON,120,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Calle Tigre Mz. 31 Lt. 08 - San Lorenzo,,,,,,,,,,,
85,03.- TARAPOTO,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,AG NUEVA CAJAMARCA,331,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Carretera Fernando Belaunde Terry Altura del Km. 447.50 ,,,,,,,,,,,
86,03.- TARAPOTO,LORETO,ALTO AMAZONAS,YURIMAGUAS,AG ALTO AMAZONAS,432,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle Mariscal Castilla N° 411,,,,,,,,,,,
87,03.- TARAPOTO,SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,ORA HOSPITAL MOYOBAMBA (MINSA),543,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,Jirón Grau cuadra 4,,,,,,,,,,,
88,03.- TARAPOTO,SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,AG MOYOBAMBA,581,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Dos de Mayo Mz. 1530 Lt. 14 (837),,,,,,,,,,,
89,03.- TARAPOTO,SAN MARTIN,HUALLAGA,SAPOSOA,AG HUALLAGA,582,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Lima N° 591,,,,,,,,,,,
90,03.- TARAPOTO,SAN MARTIN,LAMAS,LAMAS,AG LAMAS,583,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón San Martín N° 984,,,,,,,,,,,
91,03.- TARAPOTO,SAN MARTIN,MARISCAL CACERES,JUANJUI,AG MARISCAL CACERES,584,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Eduardo Peña Meza N° 772 ,,,,,,,,,,,
92,03.- TARAPOTO,SAN MARTIN,RIOJA,RIOJA,OR RIOJA,585,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Angaiza N° 530,,,,,,,,,,,
93,03.- TARAPOTO,SAN MARTIN,SAN MARTIN ,TARAPOTO,OR TARAPOTO,586,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Jiménez Pimentel N° 280 ,,,,,,,,,,,
94,03.- TARAPOTO,SAN MARTIN,BELLAVISTA,BELLAVISTA,AG BELLAVISTA,587,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Huallaga - Iquitos Mz. 7 Lt. 27 - A.  1er. Piso,,,,,,,,,,,
95,03.- TARAPOTO,SAN MARTIN,PICOTA,PICOTA,AG PICOTA,589,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,"Jirón Simón Bolívar, cuadra 4",,,,,,,,,,,
96,03.- TARAPOTO,SAN MARTIN,EL DORADO ,SAN JOSE DE SISA,AG EL DORADO,590,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Comercio N° 610,,,,,,,,,,,
97,03.- TARAPOTO,LORETO,DATEM DEL MARAÑON,BARRANCA,ORA SAN LORENZO - NUCLEO BASE (MINSA),601,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,Barrio Daniel Alcides Carrión S/N - Barrio Huacachina,,,,,,,,,,,
