,,,,,,,,,,,,,,,,,,,,,,,,,
N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN ,NOMBRE DE LA VIA,,,,,,,
47,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,OR TRUJILLO II,173,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Víctor Larco N° 1096. Urb. Vista Alegre,,,,,,,
48,02.- TRUJILLO,LA LIBERTAD,PATAZ,PARCOY,OR PARCOY,293,OR,OPERATIVO,08:45 a 13.00          14:00 a 16:30,NO,NO,SI,SI,SI,SI,SI,SI,San Martín N° 859,,,,,,,
49,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,OR TRUJILLO I,310,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Pablo Casals Mz. A Lt. 6 Urb. Los Cedros,,,,,,,
50,02.- TRUJILLO,LA LIBERTAD,BOLIVAR,BOLÍVAR,PAP BOLIVAR,311,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Bolivar S/N - Mz. 20 Lt. 8,,,,,,,
51,02.- TRUJILLO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,AG SANCHEZ CARRION,312,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Alfonso Ugarte N° 567,,,,,,,
52,02.- TRUJILLO,LA LIBERTAD,OTUZCO,OTUZCO,AG OTUZCO,313,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Pasaje Elías Armas Castillo Lt. 5-E1 Mz. 28,,,,,,,
53,02.- TRUJILLO,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,AG PACASMAYO,314,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Alianza Nº 524,,,,,,,
54,02.- TRUJILLO,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,PAP SANTIAGO DE CHUCO,316,PAP,OPERATIVO,08:45 a 13.00          14:00 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Luis de La Puente Uceda  Nº 1120,,,,,,,
55,02.- TRUJILLO,LA LIBERTAD,ASCOPE,ASCOPE,PAP ASCOPE,317,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,"Miguel Grau N° 879, Ascope - 1er Piso",,,,,,,
56,02.- TRUJILLO,LA LIBERTAD,CHEPEN,CHEPÉN,PAP CHEPEN,318,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Calle Manuel Seoane  N° 136. Chepen,,,,,,,
57,02.- TRUJILLO,LA LIBERTAD,GRAN CHIMU,CASCAS,PAP GRAN CHIMU,320,PAP,OPERATIVO,08:45 a 13.00          14:00 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Progreso S/N Cdra. 3,,,,,,,
58,02.- TRUJILLO,LA LIBERTAD,VIRU,VIRU,PAP VIRU,321,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI, Mz. A Lt. N° 08 Urb. Las Palmeras,,,,,,,
59,02.- TRUJILLO,CAJAMARCA,HUALGAYOC,BAMBAMARCA,ORA BAMBAMARCA - TITO VILLAR CABEZAS (MINSA),358,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Av. Ricardo Palma Nº 689,,,,,,,
60,02.- TRUJILLO,CAJAMARCA,CELENDIN,CELENDÍN,ORA DE APOYO CELENDIN (MINSA),359,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Túpac Amaru Cdra. 4,,,,,,,
61,02.- TRUJILLO,CAJAMARCA,CAJABAMBA,CAJABAMBA,ORA HOSPITAL NUESTRA SEÑORA DEL ROSARIO (MINSA),360,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,La Torre N° 277,,,,,,,
62,02.- TRUJILLO,CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,ORA SAN MARCOS (MINSA),361,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Av. 28 de Julio S/N Cdra.2,,,,,,,
63,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,EL PORVENIR,OR EL PORVENIR,508,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Gabriel Aguilar Nº 1657. 2do piso.,,,,,,,
64,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,ALTO TRUJILLO,OR ALTO TRUJILLO,569,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Barrio 3 Mz T Lt. 2,,,,,,,
65,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,ORA SIMON BOLIVAR (MINSA),592,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Mario Urteaga N° 500,,,,,,,
66,02.- TRUJILLO,LA LIBERTAD,PACASMAYO,GUADALUPE,ORA DE APOYO TOMÁS LAFORA (MINSA),593,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,La Victoria S/N,,,,,,,
67,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,ORA BAÑOS DEL INCA (MINSA),602,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Pachacútec N° 489,,,,,,,
68,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,LA ESPERANZA,ORA DISTRITAL JERUSALEN (MINSA),604,ORA,OPERATIVO,08:45 a 13.00          14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,1 Barrio 3 Mz. 20 Lt. 02 Sector Jerusalén,,,,,,,
69,02.- TRUJILLO,LA LIBERTAD,PATAZ,CHILLIA,AG CHILLIA,605,AG,OPERATIVO,08:45 a 13.00          14:00 a 16:30,NO,NO,SI,SI,SI,NO,NO,SI,Miraflores S/N,,,,,,,
70,02.- TRUJILLO,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,ORA DE APOYO CESAR ABRAHAM VALLEJO MENDOZA (MINSA),613,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Gustavo Pinillo S/N - Barrio San Cristobal,,,,,,,
71,02.- TRUJILLO,LA LIBERTAD,CHEPEN,CHEPEN,ORA DE APOYO CHEPEN (MINSA),614,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,28 de Julio S/N,,,,,,,
72,02.- TRUJILLO,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,ORA DE APOYO LEONCIO PRADO (MINSA),615,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,10 de Julio N° 209,,,,,,,
73,02.- TRUJILLO,LA LIBERTAD,OTUZCO,OTUZCO,ORA DE APOYO OTUZCO ELPIDIO BEROVIDES PEREZ (MINSA),616,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Progreso N° 385,,,,,,,
74,02.- TRUJILLO,LA LIBERTAD,ASCOPE,PAIJAN,ORA PAIJAN (MINSA),617,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Vía Panamericana S/N Sector Manco Capac,,,,,,,
75,02.- TRUJILLO,CAJAMARCA,CONTUMAZA,CHILETE,PANP CHILETE,722,PANP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Arequipa N° 330,,,,,,,
76,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,MAC - CAJAMARCA,795,MAC,OPERATIVO,"08:30 a 13:00
14:00 a 16:30",SI,SI,SI,SI,SI,NO,SI,SI,Via De Evitamiento. Jr. El Mutuy y Av. La Cantuta - Cajamarca - Centro Comercial Real Plaza 2do. Piso,,,,,,,
77,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,MAC - LA LIBERTAD,822,MAC,OPERATIVO,"08:30 a 13:00
14:00 a 16:30",NO,NO,SI,SI,SI,NO,SI,SI,"Centro Comercial Real Plaza de Trujillo -Fundo Las Casuarinas, Sub Lote predio A; Intersección , Av. Fátima 1345, Trujillo, La Libertad",,,,,,,
78,02.- TRUJILLO,LA LIBERTAD,VIRU,VIRU,ORA PROVINCIAL DE VIRÚ (MINSA),594,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Sucre Nº 799,,,,,,,
79,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,ORA HOSPITAL VÍCTOR LAZARTE ECHEGARAY (ESSALUD),46,ORA,OPERATIVO,08:45 a 13.00          14:00 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Prolong.Union 1375,,,,,,,
80,03.- TARAPOTO,SAN MARTIN,SAN MARTIN,TARAPOTO,ORA HOSPITAL TARAPOTO (MINSA),109,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Angel Delgado Morey Nº 503,,,,,,,
81,03.- TARAPOTO,LORETO,DATEM DEL MARAÑON,BARRANCA,PAP DATEM DEL MARAÑON,120,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Tigre Mz. 31 Lt. 08 - San Lorenzo,,,,,,,
82,03.- TARAPOTO,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,AG NUEVA CAJAMARCA,331,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI, Fernando Belaunde Terry Altura del Km. 447.50 ,,,,,,,
83,03.- TARAPOTO,LORETO,ALTO AMAZONAS,YURIMAGUAS,AG ALTO AMAZONAS,432,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Mariscal Castilla N° 411,,,,,,,
84,03.- TARAPOTO,SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,ORA HOSPITAL MOYOBAMBA (MINSA),543,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Grau cuadra 4,,,,,,,
85,03.- TARAPOTO,SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,AG MOYOBAMBA,581,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Dos de Mayo Mz. 1530 Lt. 14 (837),,,,,,,
86,03.- TARAPOTO,SAN MARTIN,HUALLAGA,SAPOSOA,AG HUALLAGA,582,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Lima N° 591,,,,,,,
87,03.- TARAPOTO,SAN MARTIN,LAMAS,LAMAS,AG LAMAS,583,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,San Martín N° 984,,,,,,,
88,03.- TARAPOTO,SAN MARTIN,MARISCAL CACERES,JUANJUI,AG MARISCAL CACERES,584,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Eduardo Peña Meza N° 772 ,,,,,,,
89,03.- TARAPOTO,SAN MARTIN,RIOJA,RIOJA,OR RIOJA,585,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Angaiza N° 530,,,,,,,
90,03.- TARAPOTO,SAN MARTIN,SAN MARTIN ,TARAPOTO,OR TARAPOTO,586,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jiménez Pimentel N° 280 ,,,,,,,
91,03.- TARAPOTO,SAN MARTIN,BELLAVISTA,BELLAVISTA,AG BELLAVISTA,587,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Huallaga - Iquitos Mz. 7 Lt. 27 - A.  1er. Piso,,,,,,,
92,03.- TARAPOTO,SAN MARTIN,PICOTA,PICOTA,AG PICOTA,589,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,"Simón Bolívar, cuadra 4",,,,,,,
93,03.- TARAPOTO,SAN MARTIN,EL DORADO ,SAN JOSE DE SISA,AG EL DORADO,590,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Comercio N° 610,,,,,,,
94,03.- TARAPOTO,LORETO,DATEM DEL MARAÑON,BARRANCA,ORA SAN LORENZO - NUCLEO BASE (MINSA),601,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Daniel Alcides Carrión S/N - Barrio Huacachina,,,,,,,
95,03.- TARAPOTO,SAN MARTIN,SAN MARTIN ,LA BANDA DE SHILCAYO,AG LA BANDA DE SHILCAYO,612,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Yurimaguas N° 340,,,,,,,
96,03.- TARAPOTO,SAN MARTIN,MARISCAL CACERES,JUANJUI,ORA HOSPITAL JUANJUI (MINSA),632,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Arica N° 205,,,,,,,
97,03.- TARAPOTO,SAN MARTIN,RIOJA,RIOJA,ORA HOSPITAL DE RIOJA (MINSA),658,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Túpac Amaru S/N,,,,,,,
98,03.- TARAPOTO,LORETO,ALTO AMAZONAS,LAGUNAS,AG LAGUNAS,509,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,CALLE FITZCARRALD C-9,,,,,,,
99,03.- TARAPOTO,LORETO,ALTO AMAZONAS,YURIMAGUAS,ORA HOSPITAL SANTA GEMA YURIMAGUAS (MINSA),603,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,CALLE HUALLAGA  C-4,,,,,,,
100,03.- TARAPOTO,SAN MARTIN,SAN MARTIN,MORALES,PANP MORALES,983,PANP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Tarapoto N° 116 Plaza de Armas,,,,,,,
101,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,"ORA HOSPITAL REGIONAL DE LORETO ""FELIPE ARRIOLA IGLESIAS""",55,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,28 de Julio S/N,,,,,,,
