DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCION,ESTADO,HORARIOS,DIRECCION
JUNIN,HUANCAYO,HUANCAYO,ORA LA LIBERTAD,OPERATIVO,08:45 a 16:30,AV. ALAMEDA S/N. COOP. SANTA ISABEL
JUNIN,CHANCHAMAYO,LA MERCED,ORA HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO,OPERATIVO,08:45 a 16:30,AVENIDA DANIEL A. CARRION S/N AV. PAMPA DEL CARMEN S/N
JUNIN,HUANCAYO,EL TAMBO,ORA HOSPITAL NACIONAL RAMIRO PRIALE,OPERATIVO,08:45 a 16:30,AVENIDA INDEPENDENCIA Nº 266
JUNIN,SATIPO,PANGOA,ORA HOSPITAL DE PANGOA,OPERATIVO,08:45 a 16:30,AVENIDA LA CULTURA S/N
JUNIN,HUANCAYO,CHILCA,ORA CHILCA,OPERATIVO,08:45 a 16:30,JIRÓN HUMBOLT Nº 900
JUNIN,HUANCAYO,HUANCAYO,MAC - JUNIN,OPERATIVO,08:30 a 16:30,AVENIDA FERROCARRIL N° 146 - 150 - CENTRO COMERCIAL MALL PLAZA
JUNIN,HUANCAYO,EL TAMBO,AGENTE RENIEC - OR HUANCAYO,OPERATIVO,08:45 a 16:45,AVENIDA MARISCAL CASTILLA Nº 1801
AYACUCHO,HUAMANGA,AYACUCHO,"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA"" (MINSA)",OPERATIVO,08:45 a 16:45,Jirón Daniel Alcides Carrión S/N - 2da cuadra.
AYACUCHO,LA MAR,AYNA,PAP AYNA -SAN FRANCISCO,OPERATIVO,08:45 a 16:45,Avenida 28 de Julio S/N San Francisco
AYACUCHO,HUAMANGA,AYACUCHO,OR HUAMANGA,OPERATIVO,08:45 a 16:45,"Jirón San Martin Nº 473, 475, 477 y 477A"
AYACUCHO,CANGALLO,CANGALLO,PAP CANGALLO,OPERATIVO,08:45 a 16:45,Jirón Maria Parado de Bellido Nº 205
ANCASH,HUARI,UCO,PANP UCO,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Nicolas de Piérola S/N Plaza de Armas, 1er piso de la Municipalidad Distrital de Uco"
ANCASH,HUACAYBAMBA,HUACAYBAMBA,PANP HUACAYBAMBA,DESPLAZAMIENTO,08:45 a 16:45,"Avenida El Ejercito S/N Barrio San Pedro, 1er piso Municipalidad Provincial de Huacaybamba"
CUSCO,CALCA,CALCA,AG CALCA,OPERATIVO,08:45 a 16:45,Plaza de Armas S/N
ANCASH,HUARI,SAN MARCOS,PANP SAN MARCOS,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Progreso 332, Plaza de Armas de San Marcos"
ANCASH,HUARAZ,HUARAZ,AG HUARAZ,OPERATIVO,08:45 a 16:45,"Jirón Agustin Loly N° 756, Mz. 29A Lt. 27, Barrio La Soledad Alta, intersección con Jr. Agustin Mejía"
ANCASH,HUAYLAS,CARAZ,AG HUAYLAS,OPERATIVO,08:45 a 16:45,Jirón Raimondi N° 215
ANCASH,HUARI,HUARI,AG HUARI,OPERATIVO,08:45 a 16:45,Jirón Libertad Mz. P2 Lt. 003
ANCASH,POMABAMBA,POMABAMBA,AG POMABAMBA,OPERATIVO,08:45 a 16:45,Jirón Huaraz Nº 369
ANCASH,SIHUAS,SIHUAS,AG SIHUAS,OPERATIVO,08:45 a 16:45,"Jirón Gomes Arias 106, Barrio Pingullo Alto"
ANCASH,PALLASCA,PAMPAS,AG PAMPAS,OPERATIVO,08:45 a 16:45,Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso
ANCASH,CASMA,CASMA,PAP CASMA,OPERATIVO,08:45 a 16:45,Sector Hijuela Mz. C Lt. 13 del Centro Cívico de la Municipalidad Provincial de Casma
ANCASH,HUARMEY,HUARMEY,PAP HUARMEY,OPERATIVO,08:45 a 16:45,1er. Pabellón S/N del Centro Cívico de la Municipalidad Provincial de Huarmey
ANCASH,RECUAY,RECUAY,PAP RECUAY,OPERATIVO,08:45 a 16:45,Calle Plaza de Armas Nº 180 Municipalidad Distrital de Recuay
ANCASH,CARHUAZ,CARHUAZ,PAP CARHUAZ,OPERATIVO,08:45 a 16:45,Avenida La Merced Nº 1006
ANCASH,YUNGAY,YUNGAY,PAP YUNGAY,OPERATIVO,08:45 a 16:45,Avenida Arias Grazziani Lt. 1-2 Centro Cívico de la Municipalidad Provincial de Yungay
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,PAP CARLOS FERMÍN FITZCARRALD,OPERATIVO,08:45 a 16:45,Avenida Ramón Castilla N° 320 - 1er. piso Centro Cívico de la Municipalidad Provincial de C. F. Fitzcarrald
ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PAP MARISCAL LUZURIAGA,OPERATIVO,08:45 a 16:45,"Jirón San Pablo S/N, Centro Cívico de la Municipalidad Provincial de Mariscal Luzuriaga"
ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL LA CALETA (Chimbote),OPERATIVO,08:45 a 16:30,Avenida Malecon Grau S/N
ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL ESSALUD III CHIMBOTE,OPERATIVO,08:45 a 16:30,Avenida Circunvalación Nº 119 Urb. Laderas del Norte
ANCASH,SANTA,NUEVO CHIMBOTE,ORA HOSPITAL ELEAZAR GUZMÁN BARRÓN (Nuevo Chimbote),OPERATIVO,08:45 a 16:30,"Avenida Brasil S/N, Urb. Santa Cristina (Hospital Regional Eleazar Guzmán Barrón puerta de Emergencia)"
ANCASH,HUARAZ,HUARAZ,ORA HOSPITAL VÍCTOR RAMOS GUARDIA (Huaraz),OPERATIVO,08:45 a 16:30,"Avenida Mariscal Luzuriaga cdra. 01, cruce con Jr. Pedro Villón cdra. 10"
ANCASH,HUAYLAS,CARAZ,ORA HOSPITAL DE APOYO CARAZ,OPERATIVO,08:45 a 16:30,Avenida 9 de Octubre S/N
ANCASH,HUARI,HUARI,ORA HOSPITAL DE APOYO HUARI,OPERATIVO,08:45 a 16:30,Avenida Circunvalación Baja S/N
ANCASH,CORONGO,CORONGO,PANP CORONGO,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Grau N° 206, primer piso de la Municipalidad Provincial de Corongo"
ANCASH,PALLASCA,CABANA,PANP PALLASCA,DESPLAZAMIENTO,08:45 a 16:45,"Avenida Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca"
ANCASH,AIJA,AIJA,PANP AIJA,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija"
ANCASH,BOLOGNESI,CHIQUIAN,PANP BOLOGNESI,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian"
ANCASH,YUNGAY,YANAMA,AG YANAMA,DESPLAZAMIENTO,08:45 a 16:45,Jirón Yungay S/N cdra. 03
ANCASH,MARISCAL LUZURIAGA,LLUMPA,PANP LLUMPA,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S/N
ANCASH,ASUNCION,CHACAS,PANP ASUNCIÓN,DESPLAZAMIENTO,08:45 a 16:45,Jirón Coliseo de Chacas S/N
ANCASH,HUARI,CHAVIN DE HUANTAR,PANP CHAVÍN DE HUANTAR,DESPLAZAMIENTO,08:45 a 16:45,"Jirón San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar"
AYACUCHO,HUANTA,HUANTA,AG HUANTA,OPERATIVO,08:45 a 16:45,Jirón Ayacucho N° 305
AYACUCHO,LA MAR,SAN MIGUEL,PAP LA MAR,OPERATIVO,08:45 a 16:45,Jirón Maria Parado de Bellido S/N
AYACUCHO,VICTOR FAJARDO,HUANCAPI,PAP VICTOR FAJARDO,OPERATIVO,08:45 a 16:45,Plaza Principal Nº 127
AYACUCHO,HUANCA SANCOS,SANCOS,PAP HUANCASANCOS,OPERATIVO,08:45 a 16:45,Avenida Progreso S/N Consejo Provincial de Huanca Sancos
AREQUIPA,LA UNION,COTAHUASI,PAP LA UNION,OPERATIVO,08:45 a 16:45,Calle Centenario N° 202 - Cotahuasi
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ORA HOSPITAL REGIONAL MOQUEGUA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Simón Bolívar N° 505
MOQUEGUA,MARISCAL NIETO,SAN ANTONIO,AG MARISCAL NIETO,OPERATIVO,08:45 a 16:45,Avenida Central Mz D-4 Lt. 1
MOQUEGUA,ILO,ILO,AG ILO,OPERATIVO,08:45 a 16:45,Jirón Ayacucho N° 529
AREQUIPA,CAYLLOMA,MAJES,AG MAJES,OPERATIVO,08:45 a 16:45,Avenida Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal
AREQUIPA,AREQUIPA,CAYMA,AG CAYMA,OPERATIVO,08:45 a 16:45,Avenida Ramón Castilla S/N - Estadio La Tomilla
TACNA,TACNA,TACNA,OR TACNA,OPERATIVO,08:45 a 16:45,Calle Deustua Nº 173
AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL III GOYENECHE (MINSA),OPERATIVO,08:45 a 14:00  -  15:00 a 16:30 (atención cama por cama),Avenida Goyeneche N° 100
AREQUIPA,CAMANA,CAMANA,ORA HOSPITAL DE CAMANA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Lima 550
AREQUIPA,AREQUIPA,PAUCARPATA,MAC - AREQUIPA,OPERATIVO,08:30 a 16:30,Avenida Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura
AREQUIPA,CAYLLOMA,MAJES,ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS (MINSA),OPERATIVO,08:45 a 16:30,Asentamiento B1 lote 1 Irrig. Majes
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MAC - MOQUEGUA,OPERATIVO,08:30 a 16:30,"Avenida Circunvalación 1B Sub lote 1-A, Moquegua"
AREQUIPA,AREQUIPA,AREQUIPA,PAP PASEO CENTRAL,OPERATIVO,08:45 a 16:45,Calle Arturo Ibañez S/N
AREQUIPA,AREQUIPA,CERRO COLORADO,C.S. MARITZA CAMPOS DIAZ (MINSA),OPERATIVO,08:45 a 16:30,Calle Yavari S/N
AREQUIPA,AREQUIPA,PAUCARPATA,HOSPITAL EDMUNDO ESCOMEL (ESSALUD),OPERATIVO,08:45 a 16:30,Avenida EL Cayro S/N
AREQUIPA,AREQUIPA,AREQUIPA,HOSPITAL CARLOS ALBERTO SEGUIN ESCOBEDO (ESSALUD),OPERATIVO,08:45 a 16:30,Calle Peral S/N
AREQUIPA,AREQUIPA,YANAHUARA,ORA HOSPITAL III YANAHUARA (ESSALUD),OPERATIVO,08:45 a 16:30,Avenida Zamácola S/N
AREQUIPA,AREQUIPA,AREQUIPA,AGENTE RENIEC - OR AREQUIPA,OPERATIVO,08:45 a 16:45,Calle San Juan de Dios N° 122 y Santo Domingo N° 101
CUSCO,CUSCO,SANTIAGO,ORA ANTONIO LORENA DEL CUSCO (MINSA),OPERATIVO,08:45 a 16:30,Calle Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra
CUSCO,CUSCO,WANCHAQ,ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO (ESSALUD),OPERATIVO,08:45 a 16:30,Avenida Ancelmo Alvarez S/N
APURIMAC,ABANCAY,ABANCAY,OR ABANCAY,OPERATIVO,08:45 a 16:45,Avenida La Victoria Nº 214
APURIMAC,AYMARAES,CHALHUANCA,PANP AYMARAES,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S/N (Gobernatura De Chalhuanca)
APURIMAC,ANTABAMBA,ANTABAMBA,PANP ANTABAMBA,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S / N
APURIMAC,COTABAMBAS,TAMBOBAMBA,PAP TAMBOBAMBA,OPERATIVO,08:45 a 16:45,Avenida Perú - Plaza de Armas S/N - 3er Piso
APURIMAC,GRAU,CHUQUIBAMBILLA,PANP GRAU,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S / N
CUSCO,CUSCO,CUSCO,OR CUSCO,OPERATIVO,08:45 a 16:45,Avenida El Sol N° 272
CUSCO,ACOMAYO,ACOMAYO,PANP ACOMAYO,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S/N
AREQUIPA,ISLAY,MOLLENDO,AG ISLAY,OPERATIVO,08:45 a 16:45,Jiron Arequipa Nº 261
AREQUIPA,CONDESUYOS,CHUQUIBAMBA,PAP CONDESUYOS,OPERATIVO,08:45 a 16:45,Avenida Alameda S/N - Los Tres Errantes
AREQUIPA,CASTILLA,APLAO,PAP CASTILLA,OPERATIVO,08:45 a 16:45,Calle Progreso S/N
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS (MINSA),OPERATIVO,08:45 a 16:45,Avenida Hugo Pesce Pesceto S/N
AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,PAP VILCASHUAMAN,OPERATIVO,08:45 a 16:45,Avenida Los Incas Nº 222
AYACUCHO,SUCRE,QUEROBAMBA,PAP SUCRE,OPERATIVO,08:45 a 16:45,Jirón San Martin S/N  Plaza de Armas Consejo Provincial de Sucre
AYACUCHO,HUANTA,HUANTA,"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION"" (MINSA)",OPERATIVO,08:45 a 16:45,Avenida Mariscal Castilla Nº 628
AYACUCHO,LA MAR,SAN MIGUEL,ORA SAN MIGUEL (MINSA),DESPLAZAMIENTO,08:45 a 16:45,Avenida Ramon Castilla s/n
AYACUCHO,CANGALLO,CANGALLO,ORA HOSPITAL DE APOYO CANGALLO (MINSA),OPERATIVO,08:45 a 16:45,Jirón Santa Rosa N° 110
CUSCO,LA CONVENCION,PICHARI,PAP PICHARI,OPERATIVO,08:45 a 16:45,Avenida BRASIL S/N
APURIMAC,CHINCHEROS,CHINCHEROS,PAP CHINCHEROS,OPERATIVO,08:45 a 16:45,Jirón COTABAMBAS N° 121
AYACUCHO,LA MAR,SAMUGARI,PAP SAMUGARI -PALMAPAMPA,OPERATIVO,08:45 a 16:45,Jirón Los Laureles S/N  Palmapampa Distrital de Samugari
AYACUCHO,LA MAR,TAMBO,ORA TAMBO (MINSA),OPERATIVO,08:45 a 16:45,Jirón Lima s/n
AYACUCHO,HUAMANGA,JESUS NAZARENO,ORA HOSPITAL DE APOYO JESUS NAZARENO (MINSA),OPERATIVO,08:45 a 16:45,Jirón Ciro Alegría Nº 547
APURIMAC,ANDAHUAYLAS,TALAVERA,OR ANDAHUAYLAS,OPERATIVO,08:45 a 16:45,Jirón Amauta N° 311
APURIMAC,CHINCHEROS,ANCCO HUALLO,ORA  CENTRO DE SALUD URIPA  (MINSA),OPERATIVO,08:45 a 16:45,Avenida  Túpac Amaru S/N  URIPA
AYACUCHO,HUANTA,SIVIA,ORA HOSPITAL DE APOYO DE SIVIA (MINSA),DESPLAZAMIENTO,08:45 a 16:45,Jirón Gervacio Santillana S/N
AREQUIPA,CARAVELI,CARAVELÍ,PAP CARAVELI,DESPLAZAMIENTO,08:45 a 16:45,Jirón Bolivar S/N
CUSCO,LA CONVENCION,KIMBIRI,ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI (MINSA),DESPLAZAMIENTO,08:45 a 16:45,Avenida Aeropuerto S/N
CUSCO,LA CONVENCION,PICHARI,ORA HOSPITAL DE APOYO PICHARI (MINSA),OPERATIVO,08:45 a 16:45,Jirón Amazonas s/n
APURIMAC,CHINCHEROS,CHINCHEROS,ORA HOSPITAL DE APOYO CHINCHEROS (MINSA),OPERATIVO,08:45 a 16:45,Avenida Fernando Belaunde Terry S/N
AYACUCHO,CANGALLO,LOS MOROCHUCOS,ORA PAMPA CANGALLO (MINSA),OPERATIVO,08:45 a 16:45,Avenida María Arguedas S/N
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,ORA SAN JUAN BAUTISTA,DESPLAZAMIENTO,08:45 a 16:45,AV. MALVINAS S/N
AYACUCHO,LA MAR,AYNA,ORA HOSPITAL DE APOYO AYNA SAN FRANCISCO,DESPLAZAMIENTO,08:45 a 16:45,AV. HUANTA S/N
AYACUCHO,HUAMANGA,AYACUCHO,MAC AYACUCHO,OPERATIVO,08:30 a 16:30,AV. JAVIER PEREZ DE CUELLAR S/N
AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Daniel Alcides Carrión N° 505
TACNA,TACNA,TACNA,ORA TACNA (MINSA),OPERATIVO,08:45 a 16:30,Calle Blondel S/N
AREQUIPA,AREQUIPA,AREQUIPA,OR AREQUIPA,OPERATIVO,08:45 a 16:45,Calle San Juan de Dios N° 122 y Santo Domingo N° 101
AREQUIPA,CAYLLOMA,CHIVAY,PAP CAYLLOMA,OPERATIVO,08:45 a 16:45,Calle Siglo XX S/N
AREQUIPA,CAMANA,CAMANA,AG CAMANA,OPERATIVO,08:45 a 16:45,Avenida Mariscal Castilla N° 221
ANCASH,SANTA,CHIMBOTE,MAC - ANCASH,OPERATIVO,08:30 a 16:30,"Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote"
ANCASH,SANTA,CHIMBOTE,AGENTE RENIEC - MEGA PLAZA CHIMBOTE,OPERATIVO,08:45 a 16:45,"Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote"
ANCASH,SANTA,CHIMBOTE,OR SANTA,OPERATIVO,08:45 a 16:45,Jirón Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401
LA LIBERTAD,VIRU,VIRU,PAP VIRU,OPERATIVO,08:45 a 16:45,Mz. A Lt. N° 08 Urb. Las Palmeras
PIURA,PIURA,VEINTISEIS DE OCTUBRE,ORA HOSPITAL DE LA AMISTAD PERU - COREA SANTA ROSA II-2 (MINSA),OPERATIVO,08:45 a 16:30,Avenida Prolongación Av. Grau/Av. Chulucanas
LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL LAMBAYEQUE (MINSA),OPERATIVO,08:45 a 16:30,Avenida Intersección de Carretera Panamerica Norte y Vía de Evitamiento S/N
PIURA,MORROPON,CHULUCANAS,ORA HOSPITAL DE APOYO CHULUCANAS (MINSA),OPERATIVO,08:45 a 16:30,Calle Daniel alcides carrion S/N Asent .H. vate manrique
LAMBAYEQUE,CHICLAYO,CHICLAYO,AGENTE RENIEC - OR CHICLAYO,OPERATIVO,08:45 a 16:45,Avenida Balta N° 680 y esquina con Av. Elias Aguirre
PIURA,PIURA,PIURA,AGENTE RENIEC - OR PIURA,OPERATIVO,08:45 a 16:45,Calle Libertad Nº 568
LA LIBERTAD,TRUJILLO,TRUJILLO,ORA REGIONAL DOCENTE DE TRUJILLO (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Avenida Mansiche Nº 795
CAJAMARCA,CAJAMARCA,CAJAMARCA,ORA REGIONAL CAJAMARCA (MINSA),OPERATIVO,08:45 a 16:30,Jirón Larry Jhonson S/N Cdra. 8
LA LIBERTAD,TRUJILLO,TRUJILLO,ORA HOSPITAL BELEN DE TRUJILLO (MINSA),OPERATIVO,08:45 a 16:30,Calle Bolívar Nº 350
CAJAMARCA,CAJAMARCA,CAJAMARCA,OR CAJAMARCA,OPERATIVO,08:45 a 16:45,Jirón Del Comercio Nº 633
CAJAMARCA,CAJABAMBA,CAJABAMBA,PAP CAJABAMBA,OPERATIVO,08:45 a 16:45,Jirón Miguel Grau Nº 224-226-228 Mz. 31 Lt. 2
CAJAMARCA,CELENDIN,CELENDÍN,PAP CELENDIN,OPERATIVO,08:45 a 16:45,Jirón Pardo N° 610
CAJAMARCA,CONTUMAZA,CONTUMAZÁ,PAP CONTUMAZA,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jirón Miguel Grau Nº 212
CAJAMARCA,HUALGAYOC,BAMBAMARCA,PAP HUALGAYOC,OPERATIVO,08:45 a 16:45,Jirón 07 de Junio Nº 470
CAJAMARCA,SAN MIGUEL,SAN MIGUEL,PAP SAN MIGUEL,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jirón Bolognesi N° 364
CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,PAP SAN MARCOS,OPERATIVO,08:45 a 16:45,Jirón Alfonso Ugarte N° 325 (Mz. 46 Lt. 17 Centro Poblado San Marcos).
CAJAMARCA,SAN PABLO,SAN PABLO,PAP SAN PABLO,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jirón Plaza de Armas S/N
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,OR TRUJILLO II,OPERATIVO,08:45 a 16:45,Avenida Víctor Larco N° 1096. Urb. Vista Alegre
LA LIBERTAD,PATAZ,PARCOY,OR PARCOY,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jirón San Martín N° 859
LA LIBERTAD,TRUJILLO,TRUJILLO,OR TRUJILLO,OPERATIVO,08:45 a 16:45,Avenida Pablo Casals Mz. A Lt. 6 Urb. Los Cedros
LA LIBERTAD,BOLIVAR,BOLÍVAR,PAP BOLIVAR,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jirón Bolivar S/N - Mz. 20 Lt. 8
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,AG SANCHEZ CARRION,OPERATIVO,08:45 a 16:45,Jirón Alfonso Ugarte N° 567
LA LIBERTAD,OTUZCO,OTUZCO,AG OTUZCO,OPERATIVO,08:45 a 16:45,Pasaje Elías Armas Castillo Lt. 5-E1 Mz. 28
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,AG PACASMAYO,OPERATIVO,08:45 a 16:45,Jirón Alianza Nº 524
LA LIBERTAD,PATAZ,TAYABAMBA,PAP PATAZ,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jirón Sucre 337 1er Piso Centro Civico
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,PAP SANTIAGO DE CHUCO,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Calle Luis de La Puente Uceda  Nº 1120
LA LIBERTAD,ASCOPE,ASCOPE,PAP ASCOPE,OPERATIVO,08:45 a 16:45,"Calle Miguel Grau N° 879, Ascope - 1er Piso"
LA LIBERTAD,CHEPEN,CHEPEN,PAP CHEPEN,OPERATIVO,08:45 a 16:45,Calle Manuel Seoane  N° 136. Chepen
PIURA,PIURA,CATACAOS,ORA CENTRO DE SALUD MATERNO INFANTIL-CATACAOS (MINSA),OPERATIVO,08:45 a 16:30,Avenida Cayetano Heredia 1108 - Catacos
TUMBES,TUMBES,TUMBES,ORA HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2 (MINSA),OPERATIVO,08:45 a 16:30,Avenida 24 de Julio Nº 565
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,ORA HOSPITAL PROVINCIAL DOCENTE BELEN-LAMBAYEQUE (MINSA),OPERATIVO,08:45 a 16:30,Avenida Ramón Castilla Nº 597
PIURA,PIURA,PIURA,OR PIURA,OPERATIVO,08:45 a 16:45,Calle Libertad Nº 568
LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES (MINSA),OPERATIVO,08:45 a 16:30,Avenida Luis Gonzáles  Nº 635
LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL ALMANZOR AGUINAGA ASENJO (ESSALUD),OPERATIVO,08:45 a 16:30,Plaza Plaza de la Seguridad Social S/N
PIURA,SULLANA,SULLANA,ORA HOSPITAL DE APOYO II-SULLANA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Santa Rosa S/N
CAJAMARCA,CUTERVO,CUTERVO,PAP CUTERVO,OPERATIVO,08:45 a 16:45,Jirón Comercio N° 1105-1107 Mz. 203 Lt. 14-Urb. Los Jardines
CAJAMARCA,CHOTA,CHOTA,AG CHOTA,OPERATIVO,08:45 a 16:45,Jirón 30 de Agosto N° 848
CAJAMARCA,SANTA CRUZ,SANTA CRUZ,PAP SANTA CRUZ,OPERATIVO,08:45 a 16:45,Jirón Domingo Negrón Nº 399
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,OR JOSÉ LEONARDO ORTIZ,OPERATIVO,08:45 a 16:45,Calle Cacique Cinto Nº 317 Urb. Latina
